Theme;Answer
Что такое ПИФ и как с помощью него зарабатывают;ПИФ — это инструмент коллективного инвестирования, подразумевающий передачу средств в доверительное управление экспертами фонда. Приобретая паи, вкладчикам не нужно самостоятельно изучать рынки и формировать портфель активов — за них это делают управляющие ПИФ.
Что такое ПИФ и как с помощью него зарабатывают;Управляющая компания получает вознаграждение за управление имуществом ПИФ. Правила ее расчета прописываются в правилах доверительного управления.
Что такое ПИФ и как с помощью него зарабатывают;В приложении Газпромбанк Инвестиции можно приобрести разные паи фондов акций, облигаций, комбинированных фондов, валютных фондов и различных индексных фондов.
Показатель EPS: что это такое и как его считать;EPS, или Earnings per Share, показывает, сколько чистой прибыли приходится на одну акцию компании и позволяет оценить, что произойдет со стоимостью акции в случае дополнительной эмиссии или байбэка.
Показатель EPS: что это такое и как его считать;Показатель чаще всего можно найти в финансовой отчетности. Лучше оценивать его за несколько лет, чтобы смотреть динамику.
Показатель EPS: что это такое и как его считать;Сам по себе показатель EPS не является определяющим, поэтому нужно подробно изучать отчетность компании.
Ценные бумаги на фондовом рынке: виды и классификация;Ценная бумага подтверждает имущественные или иные права владельца.
Ценные бумаги на фондовом рынке: виды и классификация;Существует множество способов классификации ценных бумаг в зависимости от целей и того, с точки зрения какого участника рынка проводится разделение.
Ценные бумаги на фондовом рынке: виды и классификация;Не все ценные бумаги торгуются на бирже. Доступность ценных бумаг для инвестора определяется его статусом.
Фундаментальный анализ фондового рынка — минимум, который должен знать каждый инвестор;Фундаментальный анализ строится на анализе финансовой отчетности компании. Для этого используют МСФО — международный стандарт финансовой отчетности.
Фундаментальный анализ фондового рынка — минимум, который должен знать каждый инвестор;На основе экономических показателей бизнеса можно рассчитать коэффициенты или мультипликаторы. Они позволяют сравнить компании из одной отрасли между собой и посмотреть, какая из них ведет деятельность эффективнее.
Фундаментальный анализ фондового рынка — минимум, который должен знать каждый инвестор;Сторонники фундаментального анализа прежде всего смотрят на бизнес компаний-эмитентов и только потом — на стоимость ценных бумаг. Такая стратегия позволяет найти недооцененные компании на рынке.
Что такое волатильность и как ее использовать;Волатильность не измеряет направление рынка. Цены могут меняться в любом направлении.
Что такое волатильность и как ее использовать;Волатильность — это мера того, насколько велики колебания цен индексов, ценных бумаг и других финансовых инструментов.
Что такое волатильность и как ее использовать;Высокая волатильность означает, что цена актива может резко изменяться в любом направлении.
Что такое волатильность и как ее использовать;Низкая волатильность означает, что стоимость актива более устойчива к изменениям.
Куда инвестировать при небольшом бюджете;Начать инвестировать можно практически с любой суммы, поскольку стоимость активов на бирже начинается от нескольких рублей.
Куда инвестировать при небольшом бюджете;Облигации подходят инвесторам, которые планируют получать регулярный пассивный доход, зная заранее сроки выплат.
Куда инвестировать при небольшом бюджете;Акции — более рискованный инструмент, который позволяет зарабатывать на разнице в стоимости и может принести доход в виде дивидендов.
Куда инвестировать при небольшом бюджете;Инвестиции в инвестиционные фонды подходят для инвесторов, которые не хотят тратить много времени на анализ рынка и подбор инструментов. Это готовое решение с небольшой стоимостью пая.
Валютные пары: что это такое и зачем инвестору о них знать;Валютные пары на бирже нужны, чтобы показать отношение цены одной валюты к цене другой.
Валютные пары: что это такое и зачем инвестору о них знать;Обозначаются кодами двух валют — базовой и котировальной.
Валютные пары: что это такое и зачем инвестору о них знать;Бывают мажорными, минорными и экзотическими.
Валютные пары: что это такое и зачем инвестору о них знать;Купить валюту можно в приложении Газпромбанк Инвестиции.
Что такое NASDAQ и как инвестировать в высокотехнологичный индекс;NASDAQ — ведущий мировой индекс, включающий в себя высокотехнологичные быстроразвивающиеся компании.
Что такое NASDAQ и как инвестировать в высокотехнологичный индекс;Самый популярный способ инвестировать в индекс — это ETF и БПИФ, отслеживающие индекс.
Что такое NASDAQ и как инвестировать в высокотехнологичный индекс;У индекса исторически положительная динамика, что делает его привлекательным для долгосрочных инвесторов.
Что такое NASDAQ и как инвестировать в высокотехнологичный индекс;Сделки с заемными средствами не подходят новичкам в инвестициях.
Что такое NASDAQ и как инвестировать в высокотехнологичный индекс;У индекса исторически положительная динамика, что делает его привлекательным для долгосрочных инвесторов.
Индекс Dow Jones: старейшина фондового рынка;Индекс Dow Jones — старейший в мире индикатор фондового рынка. По его динамике можно делать выводы о состоянии экономики США, приближении экономического кризиса или, наоборот, о потенциале роста.
Индекс Dow Jones: старейшина фондового рынка;В составе индекса — «голубые фишки» американского рынка, 30 дорогих компаний из разных секторов экономики.
Индекс Dow Jones: старейшина фондового рынка;Основной «конкурент» индекса Dow Jones — S&P 500. У них есть ряд принципиальных различий.
Индекс Dow Jones: старейшина фондового рынка;Самый доступный способ инвестировать в Dow Jones — приобрести акции ETF-фонда на этот индекс.
От Нью-Йорка до Мумбаи: 10 крупнейших мировых бирж;Важный показатель работы биржи — капитализация. Он отражает, сколько в сумме стоят все активы, которые размещены на рынке.
От Нью-Йорка до Мумбаи: 10 крупнейших мировых бирж;Листинг биржи — это количество эмитентов, которые на ней размещаются.
От Нью-Йорка до Мумбаи: 10 крупнейших мировых бирж;У бирж есть индексы — они показывают изменения в стоимости либо всех бумаг, которые представлены на бирже, либо отдельных секторов.
От Нью-Йорка до Мумбаи: 10 крупнейших мировых бирж;Нью-Йоркская фондовая биржа, — самый крупный рынок ценных бумаг в мире.
От Нью-Йорка до Мумбаи: 10 крупнейших мировых бирж;Обычно у китайских бирж есть разделение активов на типы А и Б. Тип А торгуется за юани, а тип Б — за американские доллары.
Дедлайн для инвестора: что такое дивидендная отсечка;Дивиденды — это часть прибыли, которой компания делится с текущими акционерами. Дивиденды могут выплачиваться нерегулярно, а их сумма не фиксирована.
Дедлайн для инвестора: что такое дивидендная отсечка;Для инвесторов, желающих получить дивиденды, важно знать точные даты выплаты дивидендов, режим торгов биржи (T+1 для российских акций или Т+2 для иностранных), сумму дивидендов и дату закрытия реестра под дивиденды.
Дедлайн для инвестора: что такое дивидендная отсечка;После дивидендной отсечки происходит снижение стоимости акций компании на сумму выплаченных дивидендов. Со временем котировки приходят на прежний уровень, но бывают исключения.
Дедлайн для инвестора: что такое дивидендная отсечка;Чтобы заработать на выплате дивидендов, инвестору следует купить акции за несколько недель до даты выплаты или дождаться восстановления цен на акции, если бумаги были куплены непосредственно перед закрытием реестра под дивиденды.
РСБУ отчетность: что это такое и ее отличие от МСФО;РСБУ — это российский стандарт отчетности, который используется для предоставления отчетности в налоговую.
РСБУ отчетность: что это такое и ее отличие от МСФО;МСФО призван привести отчетность к общему международному формату и упростить ее чтение для инвесторов.
РСБУ отчетность: что это такое и ее отличие от МСФО;Отчеты можно найти на официальных сайтах компаний и на специальных сервисах.
РСБУ отчетность: что это такое и ее отличие от МСФО;РСБУ и МСФО отличаются подходами в расчете некоторых показателей и в консолидации, поэтому данные в них могут не совпадать.
РСБУ отчетность: что это такое и ее отличие от МСФО;Для оценки возможных дивидендов инвесторы выбирают ту форму отчетности, которая прописана в дивидендной политике компаний.
РСБУ отчетность: что это такое и ее отличие от МСФО;В совокупности оба отчета позволяют более тщательно проанализировать дела компании.
Операционная прибыль компании: все, что важно знать инвестору;Операционная прибыль показывает результат от основной деятельности компании. Ее следует отличать от других видов прибыли.
Операционная прибыль компании: все, что важно знать инвестору;Инвестор может найти значение операционной прибыли в финансовых отчетах по российским и международным стандартам отчетности.
Операционная прибыль компании: все, что важно знать инвестору;Инвестор должен оценивать операционную прибыль за несколько лет. Рост показателя говорит об успешном развитии компании и ее инвестиционной привлекательности.
Зачем нужна ликвидность ценных бумаг и как правильно ее определить;Ликвидность ценных бумаг показывает, насколько быстро получится продать ценные бумаги по их рыночной стоимости. Инвесторы определяют ликвидность, чтобы выбирать лучшие ценные бумаги на фондовом рынке.
Зачем нужна ликвидность ценных бумаг и как правильно ее определить;У высоколиквидных ценных бумаг маленький спред, то есть разница между ценой спроса и ценой предложения. Обычно они имеют высокий объем торгов, большое количество ежедневных сделок и большой free-float.
Зачем нужна ликвидность ценных бумаг и как правильно ее определить;Неликвидные бумаги можно покупать, если инвестор принимает риски. Если бумага станет неликвидной после покупки, инвесторы обычно продают ее с дисконтом.
Кто такие быки и медведи на бирже;«Быки» играют на повышение — покупают активы в уверенности, что те будут дорожать. Рынок называется «бычьим», когда он медленно и долго растет.
Кто такие быки и медведи на бирже;«Медведи» играют на понижение, они уверены в падении цен на активы. Резко и быстро падающий рынок называют «медвежьим».
Кто такие быки и медведи на бирже;На длинной дистанции рынки показывают рост. Поэтому если вы делаете инвестиции на десятилетия, то направление рынка в текущий момент не имеет большого значения.
Хедж-фонды: что это такое и как инвестировать;Менеджеры хедж-фондов используют широкий спектр стратегий для составления портфеля таким образом, чтобы при любой ситуации на рынке всегда оставаться в плюсе.
Хедж-фонды: что это такое и как инвестировать;Инвестиции в хедж-фонды недоступны для большинства инвесторов из-за высокого порога входа и необходимости получить статус квалифицированного инвестора.
Хедж-фонды: что это такое и как инвестировать;Хедж-фондами управляют ведущие инвестиционные менеджеры, но их услуги стоят дорого. Зато в портфелях лучших из фондов можно свободно искать идеи.
Что такое эмиссия ценных бумаг и зачем ее проводят;Эмиссия — это размещение ценных бумаг на фондовом рынке. Эмитенты могут выпускать акции, облигации, опционы для сотрудников на приобретение акций или депозитарные расписки. Обычно компании проводят эмиссию, чтобы привлечь дополнительный капитал.
Что такое эмиссия ценных бумаг и зачем ее проводят;В некоторых случаях эмитент не может сам разместить бумаги — ему надо привлечь андеррайтера. Это организация, которая профессионально занимается фондовым рынком. В России андеррайтерами чаще всего выступают крупные банки.
Что такое эмиссия ценных бумаг и зачем ее проводят;Стоимость ценных бумаг не всегда будет расти после размещения. Перед тем как принять решение об инвестировании, необходимо проанализировать бизнес компании.
Коэффициент P/E: что он показывает и как помогает в инвестиционной стратегии;Рыночные мультипликаторы — это специальные коэффициенты, которые показывают соотношение двух финансовых показателей. Они помогают инвесторам анализировать стоимость акций и сравнивать компании между собой.
Коэффициент P/E: что он показывает и как помогает в инвестиционной стратегии;Коэффициент P/E — один из основных мультипликаторов. Это отношение капитализации компании к чистой прибыли.
Коэффициент P/E: что он показывает и как помогает в инвестиционной стратегии;P/E помогает инвесторам понять, торгуется ли компания по справедливой цене. По нему можно определить, сколько рублей придется заплатить за каждый рубль прибыли компании и сколько лет понадобится, чтобы окупить расходы на приобретение акций.
Коэффициент P/E: что он показывает и как помогает в инвестиционной стратегии;По отдельности P/E ничего не показывает — это просто число. Чтобы сделать правильные выводы на основе коэффициента, лучше сравнивать его значение с основными конкурентами.
Дискретный аукцион: как это устроено;Дискретный аукцион — специальный режим торгов, который вводит Московская биржа, чтобы снизить волатильность на рынке.
Дискретный аукцион: как это устроено;Торги идут сериями по 30 минут. Каждая состоит из трех дискретных аукционов длительностью по десять минут.
Дискретный аукцион: как это устроено;В режиме дискретного аукциона исполняются только лимитные заявки. Рыночные заявки не принимаются.
Клиринг: что это такое и зачем нужно;Клиринг — это процедура взаимозачета обязательств между участниками сделок и торгов. Он упрощает проведение операций.
Клиринг: что это такое и зачем нужно;Клиринг применяется на финансовом рынке.
Клиринг: что это такое и зачем нужно;Клиринговые операции проводят специальные организации, деятельность которых соответствует ФЗ «О клиринге, клиринговой деятельности и центральном контрагенте» и контролируется Банком России.
Что такое биржевой спред простыми словами;Спред — это разница между лучшими ценами продавца и покупателя. Увидеть спред можно в биржевом стакане.
Что такое биржевой спред простыми словами;Спред помогает оценить ликвидность актива: чем он ниже, тем актив ликвиднее. Это помогает уменьшить убытки при активной торговле на бирже.
Что такое биржевой спред простыми словами;Для среднесрочного или долгосрочного инвестирования спреды практически не повлияют на доходность — время компенсирует разницу в цене.
Балансовый отчет компании: как найти самое важное;Одним из основных документов финансовой отчетности предприятия является балансовый отчет. Он интересен руководителю, инвесторам и кредиторам компании.
Балансовый отчет компании: как найти самое важное;Балансовый отчет содержит информацию об имуществе предприятия и источниках его приобретения. Разделен на две части: актив и пассив. Каждая часть включает разделы и статьи. Актив всегда равен пассиву.
Балансовый отчет компании: как найти самое важное;Актив включает данные по оборотным и внеоборотным активам. Первые служат предприятию менее года, вторые — более года. Пассив содержит сведения о капитале и резервах, долгосрочных и краткосрочных обязательствах компании.
Балансовый отчет компании: как найти самое важное;Балансовый отчет отличается в разных стандартах отчетности: МСФО и РСБУ. Инвесторы чаще пользуются балансом по МСФО.
Балансовый отчет компании: как найти самое важное;Балансовый отчет помогает инвестору проанализировать имущество предприятия, источники его образования и оценить инвестиционную привлекательность компании. Баланс показывает финансовое положение на дату отчета.
Оценка компании: о чем расскажет инвестору  отчет о прибылях и убытках;Отчет о прибылях и убытках входит в состав финансовой отчетности. Он помогает потенциальным инвесторам узнать о доходах, выручке и расходах компании в конкретном периоде и увидеть, как они изменились по сравнению с аналогичными периодами прошлых лет.
Оценка компании: о чем расскажет инвестору  отчет о прибылях и убытках;В России информация о прибылях и убытках готовится организациями на основе двух стандартов: внутреннего (РСБУ) и международного (МСФО).
Оценка компании: о чем расскажет инвестору  отчет о прибылях и убытках;Отчеты о прибылях и убытках публикуются на сайте налоговой, самой компании, Московской биржи и информационных агентств.
Оценка компании: о чем расскажет инвестору  отчет о прибылях и убытках;Компании и их должностные лица, которые сделали серьезные ошибки в финансовой отчетности или указали не всю информацию, несут ответственность в соответствии с требованиями законодательства.
Оценка компании: о чем расскажет инвестору  отчет о прибылях и убытках;При анализе компании инвестору важно изучить основные сведения отчета о прибылях и убытках, сравнить их с прошлыми периодами, рассчитать на их основе мультипликаторы.
Инвестиционное страхование жизни: что это такое и как его использовать в инвестиционной стратегии;ИСЖ (инвестиционное страхование жизни) — это инструмент, который позволяет обеспечить финансовую защиту близких в случае наступления страхового случая.
Инвестиционное страхование жизни: что это такое и как его использовать в инвестиционной стратегии;ИСЖ имеет инвестиционную составляющую — страховая компания будет инвестировать часть средств в определенные активы. Они обычно прописаны в договоре.
Инвестиционное страхование жизни: что это такое и как его использовать в инвестиционной стратегии;ИСЖ подходит долгосрочным пассивным инвесторам, которые не готовы к самостоятельному заключению сделок на фондовом рынке.
Что такое НРД и как устроен Национальный расчетный депозитарий;НРД — крупнейший депозитарий в России. Основной его собственник — Московская биржа.
Что такое НРД и как устроен Национальный расчетный депозитарий;НРД обеспечивает прозрачность и надежность сделок с ценными бумагами.
Что такое НРД и как устроен Национальный расчетный депозитарий;НРД предлагает комплексные решения для корпораций, банков, брокеров, управляющих компаний, регистратора, специализированных депозитариев и госсектора.
Как перевести ценные бумаги в сервис Газпромбанк Инвестиции;Чтобы инвестировать на выгодных условиях, инвесторам нужно следить за работой крупнейших брокеров.
Как перевести ценные бумаги в сервис Газпромбанк Инвестиции;Иногда изменение условий работы брокера может потребовать перевода ценных бумаг к другому посреднику. Перевод активов вместо продажи позволит сохранить льготы на долгосрочное владение ценными бумагами, а также защититься от возможных финансовых потерь при продаже актива.
Как перевести ценные бумаги в сервис Газпромбанк Инвестиции;При переводе активов комиссию взимают депозитарии. Принимающий брокер может отменить комиссию на своей стороне, если заинтересован в притоке новых клиентов.
Кредитный рейтинг Moody’s: как его рассчитывают и зачем он нужен инвестору;Крупнейшими и самыми авторитетными в мире рейтинговыми агентствами считаются Fitch Ratings, Standard & Poors и Moody’s. Вместе их называют «большой тройкой».
Кредитный рейтинг Moody’s: как его рассчитывают и зачем он нужен инвестору;Оценка Moody’s часто оказывается строже, чем у Fitch или S&P.
Кредитный рейтинг Moody’s: как его рассчитывают и зачем он нужен инвестору;Надежными и низкорисковыми считаются обязательства с рейтингом от Ааа до Ваа. Их относят в «инвестиционную категорию».
Фондовые индексы: что это такое и почему они нужны;Фондовый индекс — это экономический индикатор, который показывает состояние рынка ценных бумаг и других биржевых товаров и их тенденции. Он рассчитывается на основе корзины активов и показывает, как менялась их стоимость в течение времени.
Фондовые индексы: что это такое и почему они нужны;Одни из самых важных индексов в мире — это американские S&P 500, Dow Jones и Nasdaq-100. Для российских инвесторов — индекс Московской биржи.
Фондовые индексы: что это такое и почему они нужны;Инвестировать в индексы нельзя, но можно инвестировать на их основе. Самый простой способ — вкладывать деньги в биржевые фонды через ETF или БПИФ.
Фондовые индексы: что это такое и почему они нужны;Чтобы оценить инвестиционный портфель на основе индекса, надо учесть два пункта. Первое — подобрать подходящий индекс для сравнения. Второе — сопоставить доходность портфеля с доходностью эталона за определенный период.
Чем занимается Национальный Клиринговый Центр;Клиринг — это процедура безналичных взаиморасчетов. Он упрощает и ускоряет исполнение сделок.
Чем занимается Национальный Клиринговый Центр;НКО «Национальный Клиринговый Центр» — структура Мосбиржи. Он имеет лицензию Банка России.
Чем занимается Национальный Клиринговый Центр;НКЦ — центральный контрагент Мосбиржи. Участники торгов не взаимодействуют друг с другом напрямую, сделки на бирже заключаются с НКЦ.
Чем занимается Национальный Клиринговый Центр;Центральный контрагент берет на себя возможные риски и гарантирует безопасность сделки.
Чем занимается Национальный Клиринговый Центр;Клиринг на бирже проводится в клиринговые сессии. По их итогам деньги и ценные бумаги поступают на счета / счета депо инвестора или списываются с них.
Премия за риск в инвестировании: что это и как ее считать;Премия за риск рассчитывается от самого надежного актива на рынке — государственных облигаций.
Премия за риск в инвестировании: что это и как ее считать;Если заранее рассчитать премию, то можно понять, сколько дохода или наоборот убытков способна принести сделка.
Премия за риск в инвестировании: что это и как ее считать;Величина премии зависит от инвестиционных рисков. Повлиять на них нельзя, можно лишь учесть при подсчетах.
Что такое справедливая стоимость и как ее рассчитать;Суть стоимостного подхода состоит в поиске недооцененных рынком акций в сравнении с их справедливой стоимостью.
Что такое справедливая стоимость и как ее рассчитать;Оценку стоимости акции можно проводить методами сравнительного и доходного анализа. В первом случае акция компании будет сравниваться с другими компаниями из той же отрасли с помощью мультипликаторов, во втором — будущие денежные потоки будут приводиться к текущему моменту.
Что такое справедливая стоимость и как ее рассчитать;В прогнозах аналитиков инвестиционных домов по целевой цене акций учитываются все три подхода, проводится глубокий анализ компаний с выставлением весов ключевым факторам, однако их итоговые оценки могут существенно различаться.
Что такое справедливая стоимость и как ее рассчитать;Проведение расчета истинной стоимости акций целесообразно для долгосрочного и среднесрочного инвестирования и не подходит для трейдинга внутри дня, спекуляций или короткого инвестиционного горизонта.
Что такое справедливая стоимость и как ее рассчитать;Критика стоимостного подхода заключается том, что расчет справедливой стоимости акции производится на основе известных всем данных, что должно быть уже учтено рынком в цене акции.
Нью-Йоркская фондовая биржа NYSE: когда появилась и как работает;Нью-Йоркская фондовая биржа появилась 17 мая 1792 года. В тот день 24 брокера заключили Баттонвудское соглашение, впервые официально объединившись и начав торговать ценными бумагами за комиссию.
Нью-Йоркская фондовая биржа NYSE: когда появилась и как работает;По составу NYSE рассчитали самый первый биржевой индекс — Dow Jones Transportation Average. В его состав входили девять крупнейших транспортных компаний США.
Нью-Йоркская фондовая биржа NYSE: когда появилась и как работает;Нью-Йоркская биржа — одна из последних бирж, на которой часть сделок продолжают проводить люди. Каждый день в торговом зале работают от 500 до 1000 человек.
Нью-Йоркская фондовая биржа NYSE: когда появилась и как работает;NYSE — самая крупная торговая площадка. На ней листингуются самые дорогие компании мира. Поэтому она точно отражает ситуацию в экономике страны и влияет на динамику фондовых рынков в других странах.
Нью-Йоркская фондовая биржа NYSE: когда появилась и как работает;NYSE не проводит теневые операции и поддерживает идею о полной прозрачности торгов. Инвесторы видят цены всех сделок. Поэтому они могут сформировать точную картину рынка и принять правильные инвестиционные решения.
Инвестиционная привлекательность Китая: интервью с Джулией Чарлтон;В 2021 году, несмотря на все сложности, экономика Китая выросла на 8,1%. В 2022 году темпы роста должны вернуться к допандемийным и составить 5,4%.
Инвестиционная привлекательность Китая: интервью с Джулией Чарлтон;Импорт Китая должен ускориться за счет восстановления международных перевозок.
Инвестиционная привлекательность Китая: интервью с Джулией Чарлтон;Ожидается, что инфляция в Китае в 2022 году будет ниже 3%, а акцент в политике государства будет сделан на смягчении социального неравенства.
Инвестиционная привлекательность Китая: интервью с Джулией Чарлтон;В 2021 году, несмотря на все сложности, экономика Китая выросла на 8,1%. В 2022 году темпы роста должны вернуться к допандемийным и составить 5,4%.
Инвестиционная привлекательность Китая: интервью с Джулией Чарлтон;Импорт Китая должен ускориться за счет восстановления международных перевозок.
